Simulation status;Solvent;Solvent temperature (K);Solvent pressure (bar);Reflux ratio col 1 (mole basis);Reflux ratio col 2 (mole basis);Solvent flowrate (kmol/hr);Mixture pressure (bar);Mixture temperature (K);Distillate rate col 1 (kmol/hr);Distillate rate col 2 (kmol/hr);Methanol purity (mole basis);Condensor 01 duty (kJ/hr);Condensor 02 duty (kJ/hr)
Warnings;DMSO;303.15;1;0.25;0.75;600;1;323.15;200;400;0.652275794;-7516402.91;-28944933.2
Warnings;DMSO;303.15;1;0.25;0.75;600;1;323.15;400;200;0.700292339;-15765268.7;-15780070.7
Warnings;DMSO;303.15;1;0.25;0.75;600;1;323.15;400;400;0.350146018;-15765227.2;-35180673.1
Warnings;DMSO;303.15;1;0.25;0.75;600;2;303.15;200;200;0.610075352;-7509904.89;-11603743.1
Warnings;DMSO;303.15;1;0.25;0.75;600;2;303.15;200;400;0.654846686;-7509920.61;-28949149
Warnings;DMSO;303.15;1;0.25;0.75;600;2;303.15;400;200;0.700294635;-15765271.4;-15780067.6
Warnings;DMSO;303.15;1;0.25;0.75;600;2;303.15;400;400;0.35014716;-15765230.9;-35180660
Warnings;DMSO;303.15;1;0.25;0.75;600;2;313.15;200;200;0.607620766;-7512996.52;-11598434.7
Warnings;DMSO;303.15;1;0.25;0.75;600;2;313.15;200;400;0.65362047;-7512995.31;-28947142.4
Warnings;DMSO;303.15;1;0.25;0.75;600;2;313.15;400;200;0.700293637;-15765277.7;-15780068.6
Warnings;DMSO;303.15;1;0.25;0.75;600;2;313.15;400;400;0.350146626;-15765228.3;-35180666.1
Warnings;DMSO;303.15;1;0.25;0.75;600;2;323.15;200;200;0.604945939;-7516445.56;-11592711.7
Warnings;DMSO;303.15;1;0.25;0.75;600;2;323.15;200;400;0.652275794;-7516402.91;-28944933.2
Warnings;DMSO;303.15;1;0.25;0.75;600;2;323.15;400;200;0.700292339;-15765268.7;-15780070.7
Warnings;DMSO;303.15;1;0.25;0.75;600;2;323.15;400;400;0.350146018;-15765227.2;-35180673.1
Warnings;DMSO;303.15;1;0.25;0.75;600;3;303.15;200;200;0.610075352;-7509904.89;-11603743.1
Warnings;DMSO;303.15;1;0.25;0.75;600;3;303.15;200;400;0.654846686;-7509920.61;-28949149
Warnings;DMSO;303.15;1;0.25;0.75;600;3;303.15;400;200;0.700294635;-15765271.4;-15780067.6
Warnings;DMSO;303.15;1;0.25;0.75;600;3;303.15;400;400;0.35014716;-15765230.9;-35180660
Warnings;DMSO;303.15;1;0.25;0.75;600;3;313.15;200;200;0.607620766;-7512996.52;-11598434.7
Warnings;DMSO;303.15;1;0.25;0.75;600;3;313.15;200;400;0.65362047;-7512995.31;-28947142.4
Warnings;DMSO;303.15;1;0.25;0.75;600;3;313.15;400;200;0.700293637;-15765277.7;-15780068.6
Warnings;DMSO;303.15;1;0.25;0.75;600;3;313.15;400;400;0.350146626;-15765228.3;-35180666.1
Warnings;DMSO;303.15;1;0.25;0.75;600;3;323.15;200;200;0.604945939;-7516445.56;-11592711.7
Warnings;DMSO;303.15;1;0.25;0.75;600;3;323.15;200;400;0.652275794;-7516402.91;-28944933.2
Warnings;DMSO;303.15;1;0.25;0.75;600;3;323.15;400;200;0.700292339;-15765268.7;-15780070.7
Warnings;DMSO;303.15;1;0.25;0.75;600;3;323.15;400;400;0.350146018;-15765227.2;-35180673.1
Warnings;DMSO;303.15;1;0.25;0.75;720;1;303.15;200;200;0.649754505;-7459518.79;-11688986.8
Warnings;DMSO;303.15;1;0.25;0.75;720;1;303.15;200;400;0.674691769;-7459512.65;-28980439.3
Warnings;DMSO;303.15;1;0.25;0.75;720;1;303.15;400;200;0.70033332;-15768825.8;-15779827.4
Warnings;DMSO;303.15;1;0.25;0.75;720;1;303.15;400;400;0.350166455;-15768782.8;-35180532.6
Warnings;DMSO;303.15;1;0.25;0.75;720;1;313.15;200;200;0.64963019;-7459680.4;-11688719.9
Warnings;DMSO;303.15;1;0.25;0.75;720;1;313.15;200;400;0.674629173;-7459674.74;-28980344
Warnings;DMSO;303.15;1;0.25;0.75;720;1;313.15;400;200;0.700332373;-15768799.5;-15779830
Warnings;DMSO;303.15;1;0.25;0.75;720;1;313.15;400;400;0.350166045;-15768769.7;-35180537
Warnings;DMSO;303.15;1;0.25;0.75;720;1;323.15;200;200;0.64942816;-7459947.55;-11688286.6
Warnings;DMSO;303.15;1;0.25;0.75;720;1;323.15;200;400;0.674526381;-7459938.88;-28980188.6
Warnings;DMSO;303.15;1;0.25;0.75;720;1;323.15;400;200;0.700331582;-15768801;-15779830.8
Warnings;DMSO;303.15;1;0.25;0.75;720;1;323.15;400;400;0.350165613;-15768763.1;-35180541.8
