"T DMSO","P DMSO","T MIX","P MIX","RR1","RR2","PURITY","SIMRES"
"310","1.5","310","2.5","1.25","1","0.995778087","OK"
"310","1.5","310","2.5","1.25","1.25","0.995778142","OK"
"310","1.5","315","1","0.5","0.5","0.952928592","Warnings"
"310","1.5","315","1","0.5","0.75","0.952921633","Warnings"
"310","1.5","315","1","0.5","1","0.952921718","Warnings"
"310","1.5","315","1","0.5","1.25","0.952920878","Warnings"
"310","1.5","315","1","0.75","0.5","0.98659584","Warnings"
"310","1.5","315","1","0.75","0.75","0.986568056","Warnings"
"310","1.5","315","1","0.75","1","0.986567974","Warnings"
"310","1.5","315","1","0.75","1.25","0.986567905","Warnings"
"310","1.5","315","1","1","0.5","0.995062974","Warnings"
"310","1.5","315","1","1","0.75","0.995061748","Warnings"
"310","1.5","315","1","1","1","0.995061818","Warnings"
"310","1.5","315","1","1","1.25","0.995061895","Warnings"
"310","1.5","315","1","1.25","0.5","0.99576442","Warnings"
"310","1.5","315","1","1.25","0.75","0.995763315","Warnings"
"310","1.5","315","1","1.25","1","0.995763421","Warnings"
"310","1.5","315","1","1.25","1.25","0.995763477","Warnings"
"310","1.5","315","1.5","0.5","0.5","0.952976177","Warnings"
"310","1.5","315","1.5","0.5","0.75","0.952919762","Warnings"
"310","1.5","315","1.5","0.5","1","0.952924613","Warnings"
"310","1.5","315","1.5","0.5","1.25","0.952920284","Warnings"
"310","1.5","315","1.5","0.75","0.5","0.986591904","Warnings"
"310","1.5","315","1.5","0.75","0.75","0.986567574","Warnings"
"310","1.5","315","1.5","0.75","1","0.986568599","Warnings"
"310","1.5","315","1.5","0.75","1.25","0.986568542","Warnings"
"310","1.5","315","1.5","1","0.5","0.995062972","Warnings"
"310","1.5","315","1.5","1","0.75","0.995061747","Warnings"
"310","1.5","315","1.5","1","1","0.995061817","Warnings"
"310","1.5","315","1.5","1","1.25","0.995061895","Warnings"
"310","1.5","315","1.5","1.25","0.5","0.99576442","Warnings"
"310","1.5","315","1.5","1.25","0.75","0.995763315","Warnings"
"310","1.5","315","1.5","1.25","1","0.995763421","Warnings"
"310","1.5","315","1.5","1.25","1.25","0.995763477","Warnings"
"310","1.5","315","2","0.5","0.5","0.952976177","OK"
"310","1.5","315","2","0.5","0.75","0.952919762","OK"
"310","1.5","315","2","0.5","1","0.952924613","OK"
"310","1.5","315","2","0.5","1.25","0.952920285","OK"
"310","1.5","315","2","0.75","0.5","0.986591903","OK"
"310","1.5","315","2","0.75","0.75","0.986567574","OK"
"310","1.5","315","2","0.75","1","0.986568599","OK"
"310","1.5","315","2","0.75","1.25","0.986568542","OK"
"310","1.5","315","2","1","0.5","0.995062972","OK"
"310","1.5","315","2","1","0.75","0.995061747","OK"
"310","1.5","315","2","1","1","0.995061817","OK"
"310","1.5","315","2","1","1.25","0.995061895","OK"
"310","1.5","315","2","1.25","0.5","0.99576442","OK"
"310","1.5","315","2","1.25","0.75","0.995763315","OK"
"310","1.5","315","2","1.25","1","0.995763421","OK"
"310","1.5","315","2","1.25","1.25","0.995763477","OK"
"310","1.5","315","2.5","0.5","0.5","0.952976177","OK"
"310","1.5","315","2.5","0.5","0.75","0.952919762","OK"
"310","1.5","315","2.5","0.5","1","0.952924613","OK"
"310","1.5","315","2.5","0.5","1.25","0.952920285","OK"
"310","1.5","315","2.5","0.75","0.5","0.986591903","OK"
"310","1.5","315","2.5","0.75","0.75","0.986567574","OK"
"310","1.5","315","2.5","0.75","1","0.986568599","OK"
"310","1.5","315","2.5","0.75","1.25","0.986568542","OK"
"310","1.5","315","2.5","1","0.5","0.995062972","OK"
"310","1.5","315","2.5","1","0.75","0.995061747","OK"
"310","1.5","315","2.5","1","1","0.995061817","OK"
"310","1.5","315","2.5","1","1.25","0.995061895","OK"
"310","1.5","315","2.5","1.25","0.5","0.99576442","OK"
"310","1.5","315","2.5","1.25","0.75","0.995763315","OK"
"310","1.5","315","2.5","1.25","1","0.995763421","OK"
"310","1.5","315","2.5","1.25","1.25","0.995763477","OK"
"310","1.5","320","1","0.5","0.5","0.951589419","Warnings"
"310","1.5","320","1","0.5","0.75","0.951562349","Warnings"
"310","1.5","320","1","0.5","1","0.951558337","Warnings"
"310","1.5","320","1","0.5","1.25","0.951557257","Warnings"
"310","1.5","320","1","0.75","0.5","0.985659934","Warnings"
"310","1.5","320","1","0.75","0.75","0.985640663","Warnings"
"310","1.5","320","1","0.75","1","0.985638805","Warnings"
"310","1.5","320","1","0.75","1.25","0.98564238","Warnings"
"310","1.5","320","1","1","0.5","0.99499702","Warnings"
"310","1.5","320","1","1","0.75","0.994995896","Warnings"
"310","1.5","320","1","1","1","0.994995781","Warnings"
"310","1.5","320","1","1","1.25","0.994995774","Warnings"
